date,AK,AL,AR,AS,AZ,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TX,UT,VA,VI,VT,WA,WI,WV,WY
5-Mar-20,0,0,0,0,2,53,0,0,0,0,9,2,0,0,0,0,5,0,0,0,0,0,0,0,72,0,0,0,0,0,1,0,0,2,1,0,1,22,0,1,3,2,0,3,0,0,1,1,0,0,0,731,1,0,0
6-Mar-20,0,0,0,0,3,60,2,1,0,0,9,2,0,0,0,0,5,1,0,0,0,0,3,0,98,1,0,0,0,0,2,0,0,2,1,0,1,33,0,1,3,2,2,3,0,0,5,1,0,0,0,813,1,0,0
7-Mar-20,0,0,0,0,5,69,8,1,0,0,14,6,0,1,0,0,6,1,0,1,0,0,3,0,128,2,0,0,0,0,2,0,1,2,4,0,1,76,0,1,7,4,3,3,2,0,8,1,0,0,1,912,1,0,0
8-Mar-20,0,0,0,0,5,88,8,2,1,0,17,7,0,1,0,0,6,2,1,1,0,0,3,0,168,2,1,0,0,0,2,0,1,4,6,0,1,105,0,1,14,6,3,3,2,0,8,1,2,0,1,1065,1,0,0
9-Mar-20,0,0,0,0,5,114,9,3,1,0,18,12,0,2,3,0,7,2,1,4,1,0,5,0,254,5,1,0,0,0,2,0,3,4,11,0,1,142,3,1,14,10,3,4,7,0,12,1,3,0,1,1237,1,0,0
10-Mar-20,0,0,0,0,6,133,12,6,5,0,19,17,0,2,8,0,19,6,1,6,1,0,6,0,358,11,1,0,0,0,7,0,3,4,15,0,1,173,3,2,15,12,4,5,7,0,13,2,8,0,1,1453,2,0,0
11-Mar-20,0,1,6,0,9,157,28,6,5,1,28,22,0,2,13,0,19,10,1,8,6,0,9,0,497,21,1,0,0,0,7,0,5,4,24,3,5,216,4,2,19,16,4,5,9,5,21,2,9,0,2,1665,3,0,0
12-Mar-20,1,6,9,0,9,202,45,11,10,4,32,31,0,2,14,0,25,12,4,8,14,8,12,1,702,43,1,0,1,1,12,1,10,6,30,5,7,216,5,3,19,22,4,13,10,8,23,4,17,0,2,1921,9,0,1
13-Mar-20,1,12,12,0,9,202,72,20,10,4,50,42,0,2,16,0,32,12,6,11,36,23,17,3,945,62,2,0,4,1,15,1,13,6,50,10,11,421,13,3,30,41,5,19,12,9,39,6,30,0,5,2218,23,0,1
14-Mar-20,1,28,16,0,12,252,101,26,10,6,77,66,0,2,17,2,46,15,6,14,51,38,26,3,1196,90,4,0,6,5,23,1,14,7,50,10,20,524,13,4,30,47,5,19,13,9,51,6,30,1,8,2484,23,0,2
