date,CA,IL
5-Mar-20,53,5
6-Mar-20,60,5
7-Mar-20,69,6
8-Mar-20,88,6
9-Mar-20,114,7
10-Mar-20,133,19
11-Mar-20,157,19
12-Mar-20,202,25
13-Mar-20,202,32
14-Mar-20,252,46
15-Mar-20,293,64
16-Mar-20,335,93
17-Mar-20,483,159
18-Mar-20,611,288
19-Mar-20,924,422
20-Mar-20,1063,585
21-Mar-20,1279,753
22-Mar-20,1536,1049
23-Mar-20,1733,1273
24-Mar-20,2102,1535
25-Mar-20,2355,1865
26-Mar-20,3006,2538
27-Mar-20,3879,3026
28-Mar-20,4643,3491
29-Mar-20,5708,4596
30-Mar-20,6447,5057
31-Mar-20,7482,5994
1-Apr-20,8155,6980
2-Apr-20,9191,7695
3-Apr-20,10701,8904
4-Apr-20,12026,10357
5-Apr-20,13438,11256
6-Apr-20,14336,12262
7-Apr-20,15865,13549
8-Apr-20,16957,15078
9-Apr-20,18309,16422
10-Apr-20,19472,17887
11-Apr-20,20615,19180
12-Apr-20,21794,20852
13-Apr-20,22348,22025
14-Apr-20,23338,23247
15-Apr-20,24424,24593
16-Apr-20,26182,25733
17-Apr-20,27528,27575
18-Apr-20,28963,29160
19-Apr-20,30333,30357
20-Apr-20,30978,31508
21-Apr-20,33261,33059
22-Apr-20,35396,35108
23-Apr-20,37369,36934
24-Apr-20,39254,39658
25-Apr-20,41137,41777
26-Apr-20,42164,43903
27-Apr-20,43464,45883
28-Apr-20,45031,48102
29-Apr-20,46500,50355
30-Apr-20,48917,52918
1-May-20,50442,56055
2-May-20,52197,58505
3-May-20,53616,61499
4-May-20,54937,63840
5-May-20,56212,65962
6-May-20,58815,68232
7-May-20,60614,70873
8-May-20,62512,73760
9-May-20,64561,76085
10-May-20,66680,77741
11-May-20,67939,79007
12-May-20,69382,83021
13-May-20,71141,84698
14-May-20,73164,87937
15-May-20,74936,90369
16-May-20,76793,92457
17-May-20,78839,94191
18-May-20,80430,96485
19-May-20,81795,98030
20-May-20,84057,100418
21-May-20,86197,102686
22-May-20,88444,105444
23-May-20,90631,107796
24-May-20,92710,110304
25-May-20,94558,112017
26-May-20,96733,113195
27-May-20,98980,114306
28-May-20,101697,115833
29-May-20,103886,117455
30-May-20,106878,118917
31-May-20,110583,120260
1-Jun-20,113006,121234
2-Jun-20,115310,122848
3-Jun-20,117687,123830
4-Jun-20,119807,124759
5-Jun-20,122901,125915
6-Jun-20,126016,126890
7-Jun-20,128812,127757
8-Jun-20,131319,129139
9-Jun-20,133489,129936
10-Jun-20,136191,130561
11-Jun-20,139281,131327
12-Jun-20,141983,132059
13-Jun-20,145643,132732
14-Jun-20,148855,133404
15-Jun-20,151452,133877
16-Jun-20,153560,134500
17-Jun-20,157015,135046
18-Jun-20,161099,135639
19-Jun-20,165416,136470
20-Jun-20,169309,137104
21-Jun-20,173824,137762
22-Jun-20,178054,138224
23-Jun-20,183073,138825
24-Jun-20,190222,139540
25-Jun-20,195571,140434
26-Jun-20,200461,141344
27-Jun-20,206433,142130
28-Jun-20,211243,142776
29-Jun-20,219252,143514
30-Jun-20,228732,144238
1-Jul-20,236139,145066
2-Jul-20,242547,145935
3-Jul-20,248235,146872
4-Jul-20,257388,147734
5-Jul-20,265985,148373
6-Jul-20,271684,148987
7-Jul-20,277774,149574
8-Jul-20,289468,150554
9-Jul-20,296499,151572
10-Jul-20,304297,152899
11-Jul-20,312344,154094
12-Jul-20,320804,155048
13-Jul-20,329162,155931
14-Jul-20,336508,156638
15-Jul-20,347634,157825
16-Jul-20,356178,159082
17-Jul-20,366164,160509
18-Jul-20,375363,161785
19-Jul-20,384692,162750
20-Jul-20,391538,163923
21-Jul-20,400769,164878
22-Jul-20,413576,166476
23-Jul-20,425616,168100
24-Jul-20,435334,169699
25-Jul-20,445400,171125
26-Jul-20,453659,172666
27-Jul-20,460550,173897
28-Jul-20,466550,174973
29-Jul-20,475305,176366
30-Jul-20,485502,178138
