date,state,CA,IL
20200305,CA,12.875,13.49206349
20200306,CA,13.05,14.68253968
20200307,CA,13.275,15.63492063
20200308,CA,13.75,15.63492063
20200309,CA,20.1,15.71428571
20200310,CA,20.575,20.87301587
20200311,CA,26.825,20.87301587
20200312,CA,27.95,23.0952381
20200313,CA,27.95,25.87301587
20200314,CA,29.2,28.73015873
20200315,CA,30.225,40.71428571
20200316,CA,207.9,81.34920635
20200317,CA,211.6,118.968254
20200318,CA,214.8,162.7777778
20200319,CA,242.775,249.7619048
20200320,CA,287.175,339.7619048
20200321,CA,313.2,495.3174603
20200322,CA,321,660.3174603
20200323,CA,357.5,782.2222222
20200324,CA,388.85,910.2380952
20200325,CA,456.9,1127.698413
20200326,CA,509.65,1319.920635
20200327,CA,531.475,1709.68254
20200328,CA,629.8,2023.095238
20200329,CA,656.425,2203.333333
20200330,CA,674.9,2416.349206
20200331,CA,731.35,2795.634921
20200401,CA,748.175,3205.079365
20200402,CA,825,3464.761905
20200403,CA,882.5,3813.333333
20200404,CA,2842.5,4252.460317
20200405,CA,2913.325,4681.190476
20200406,CA,2935.775,4995.396825
20200407,CA,3280.725,5454.920635
20200408,CA,3606.6,5957.619048
20200409,CA,4087.5,6417.222222
20200410,CA,4121.575,6946.587302
20200411,CA,4330.475,7313.412698
20200412,CA,4758.2,7994.84127
20200413,CA,4772.05,8394.285714
20200414,CA,5055.2,8779.047619
20200415,CA,5412.15,9280.079365
20200416,CA,6160,9729.285714
20200417,CA,6290.35,10330.39683
20200418,CA,6491.65,10905.07937
20200419,CA,7022.5,11374.44444
20200420,CA,7262.5,11774.44444
20200421,CA,7502.5,12301.34921
20200422,CA,11633.175,13043.33333
20200423,CA,12052.425,13755.2381
20200424,CA,12354.325,15050.15873
20200425,CA,12650.875,16001.34921
20200426,CA,13152.1,17059.68254
20200427,CA,13835.225,18065.71429
20200428,CA,14440.2,19221.34921
20200429,CA,15078.475,20370.39683
20200430,CA,15633.425,21418.01587
20200501,CA,16374.625,22594.28571
20200502,CA,17170.075,23801.26984
20200503,CA,17893.775,25342.30159
20200504,CA,18696.85,26440.2381
20200505,CA,19497.55,27483.01587
20200506,CA,20225.9,28671.42857
20200507,CA,21071.85,30082.77778
20200508,CA,21881.8,31723.33333
20200509,CA,22814.25,33042.14286
20200510,CA,23891.6,34125.71429
20200511,CA,24797.425,35113.09524
20200512,CA,25834.25,37435.79365
20200513,CA,26639.8,38838.01587
20200514,CA,27616.275,40637.85714
20200515,CA,28347.65,42746.19048
20200516,CA,29478.15,44575.31746
20200517,CA,30881.075,46186.03175
20200518,CA,32316.8,47876.26984
20200519,CA,33482.9,49340
20200520,CA,34503,51008.96825
20200521,CA,35528.175,53334.92063
20200522,CA,36669.325,55328.01587
20200523,CA,37882.65,57321.19048
20200524,CA,39568.625,59358.80952
20200525,CA,41102.55,61076.50794
20200526,CA,42409.9,62443.96825
20200527,CA,43422.35,63807.38095
20200528,CA,44763.975,65870.31746
20200529,CA,45886.95,67600.15873
20200530,CA,47214.875,69611.50794
20200531,CA,48621.2,71290.39683
20200601,CA,50314.575,72878.80952
20200602,CA,51789.775,74182.85714
20200603,CA,53282.35,76125
20200604,CA,54566.775,77937.77778
20200605,CA,55961.575,79438.01587
20200606,CA,57707.5,81116.98413
20200607,CA,59055.45,82759.84127
20200608,CA,60779.75,84095
20200609,CA,62156.125,85706.8254
20200610,CA,63519.95,87359.20635
20200611,CA,64941.175,89131.03175
20200612,CA,66556.45,91108.09524
20200613,CA,68109.825,92841.74603
20200614,CA,70049.9,94590.95238
20200615,CA,71704.55,96069.28571
20200616,CA,73443.875,97555.71429
20200617,CA,74949.7,99935.63492
20200618,CA,76863.25,101959.7619
20200619,CA,78892.55,104127.2222
20200620,CA,80860.3,106187.9365
20200621,CA,82981.4,108078.0952
20200622,CA,85292.15,109524.0476
20200623,CA,87423.225,111151.5873
20200624,CA,89822.475,113479.4444
20200625,CA,92358.625,115994.2063
20200626,CA,94282.85,118413.0952
20200627,CA,96557.75,120812.8571
20200628,CA,98898.8,122700.873
20200629,CA,101542.3,124837.2222
20200630,CA,104178.475,127303.0159
20200701,CA,106354.4,129929.2063
20200702,CA,108467.95,132330.9524
20200703,CA,111204.4,135060.0794
20200704,CA,113825.775,137745.4762
20200705,CA,117003.45,139906.9841
20200706,CA,119833.825,141584.2857
20200707,CA,122409.25,143726.6667
20200708,CA,124904.375,146325.2381
20200709,CA,126960.85,149196.6667
20200710,CA,129393.425,151815.4762
20200711,CA,131892.375,154382.5397
20200712,CA,135164.975,157469.3651
20200713,CA,138609.125,159851.2698
20200714,CA,141873.875,162108.8889
20200715,CA,144831.9,165137.5397
20200716,CA,147887.7,168550.7143
20200717,CA,151102.475,172021.746
20200718,CA,154180.45,175680.3968
20200719,CA,157171.3,178229.0476
20200720,CA,160358.025,180974.9206
20200721,CA,163423.3,183335.6349
20200722,CA,166610.475,186481.1111
20200723,CA,169457.6,189632.381
20200724,CA,172896.9,193155.9524
20200725,CA,176183.875,196187.6984
20200726,CA,179203.475,199429.2857
20200727,CA,182414.45,201855.2381
20200728,CA,185446.65,204103.7302
20200729,CA,187936.65,207134.4444
20200730,CA,190846,210399.0476
